line,direction,stop_number,distance,ulica_id,bus_stop_group,typ,bus_stop_platform
1,TD-1AN03,1,0,1501,R-01,6,00
1,TD-1AN03,2,182,0123,5004,5,03
1,TD-1AN03,3,717,1703,5003,1,08
1,TD-1AN03,4,938,1703,5084,1,02
1,TD-1AN03,5,1213,1703,5085,1,02
1,TD-1AN03,6,1569,1703,5086,1,04
1,TD-1AN03,7,2005,1703,5087,1,04
1,TD-1AN03,8,2505,1703,5159,1,03
1,TD-1AN03,9,2868,0203,7091,1,07
1,TD-1AN03,10,3193,0203,7081,1,03
1,TD-1AN03,11,3671,0203,7019,1,07
1,TD-1AN03,12,4220,0203,7054,1,05
1,TD-1AN03,13,4597,1532,7055,1,03
1,TD-1AN03,14,5040,1532,1164,1,04
1,TD-1AN03,15,5519,2001,1006,1,04
1,TD-1AN03,16,5737,2001,1006,1,08
1,TD-1AN03,17,6387,2001,1075,1,04
1,TD-1AN03,18,6954,1701,1077,1,04
1,TD-1AN03,19,7555,1701,1078,1,04
1,TD-1AN03,20,8086,1701,1079,1,04
1,TD-1AN03,21,8494,1567,1080,1,04
1,TD-1AN03,22,9271,1901,1082,1,02
1,TD-1AN03,23,9614,1901,1083,1,04
1,TD-1AN03,24,9836,1901,1084,1,02
1,TD-1AN03,25,10223,1901,1085,1,02
1,TD-1AN03,26,10682,1901,1086,1,04
1,TD-1AN03,27,11147,0104,1087,3,03
1,TD-1BAN,1,0,1501,R-01,6,00
1,TD-1BAN,2,182,0123,5004,5,03
1,TD-1BAN,3,702,1703,5003,1,07
1,TD-1BAN,4,1009,2202,5037,1,05
1,TD-1BAN,5,1342,2202,5040,1,05
1,TD-1BAN,6,2005,2202,4001,1,13
1,TD-1BAN,7,2367,0801,4002,1,02
1,TD-1BAN,8,2850,0005,4003,1,08
1,TD-1BAN,9,3147,0801,4121,1,04
1,TD-1BAN,10,3402,0801,4004,1,04
1,TD-1BAN,11,3933,0202,4005,1,07
1,TD-1BAN,12,4270,0202,4108,3,04
1,TD-2AN04,1,0,1202,R-02,6,00
1,TD-2AN04,2,464,1203,1028,5,01
1,TD-2AN04,3,1158,2201,1001,1,04
1,TD-2AN04,4,1498,2201,1002,1,04
1,TD-2AN04,5,1975,2201,1003,1,08
1,TD-2AN04,6,2316,1301,1066,1,04
1,TD-2AN04,7,3064,1301,1071,1,02
1,TD-2AN04,8,3727,1701,1077,1,04
1,TD-2AN04,9,4328,1701,1078,1,04
1,TD-2AN04,10,4859,1701,1079,1,04
1,TD-2AN04,11,5267,1567,1080,1,04
1,TD-2AN04,12,6044,1901,1082,1,02
1,TD-2AN04,13,6387,1901,1083,1,04
1,TD-2AN04,14,6609,1901,1084,1,02
1,TD-2AN04,15,6996,1901,1085,1,02
1,TD-2AN04,16,7455,1901,1086,1,04
1,TD-2AN04,17,7911,0104,1087,3,04
1,TD-2NAR,1,0,1202,R-02,6,00
1,TD-2NAR,2,464,1203,1028,5,01
1,TD-2NAR,3,1158,2201,1001,1,04
1,TD-2NAR,4,1498,2201,1002,1,04
1,TD-2NAR,5,1975,2201,1003,1,08
1,TD-2NAR,6,2587,1101,1004,1,02
1,TD-2NAR,7,2866,1101,1005,1,04
1,TD-2NAR,8,3438,1101,1006,1,06
1,TD-2NAR,9,3561,2001,1006,1,03
1,TD-2NAR,10,4009,1532,1164,1,03
1,TD-2NAR,11,4494,1532,7055,1,04
1,TD-2NAR,12,4848,0203,7054,1,04
1,TD-2NAR,13,5413,0203,7019,1,08
1,TD-2NAR,14,5893,0203,7081,1,04
1,TD-2NAR,15,6471,1703,5159,1,04
1,TD-2NAR,16,7024,1703,5087,1,03
1,TD-2NAR,17,7546,1703,5086,1,03
1,TD-2NAR,18,8063,1703,5084,1,01
1,TD-2NAR,19,8538,1703,5003,1,07
1,TD-2NAR,20,8845,2202,5037,1,05
1,TD-2NAR,21,9178,2202,5040,1,05
1,TD-2NAR,22,9841,2202,4001,1,13
1,TD-2NAR,23,10203,0801,4002,1,02
1,TD-2NAR,24,10688,0005,4003,4,13
1,TD-2NAR,25,10894,0005,4003,5,12
1,TD-2ZEW,1,0,1202,R-02,6,00
1,TD-2ZEW,2,464,1203,1028,5,01
1,TD-2ZEW,3,1158,2201,1001,1,04
1,TD-2ZEW,4,1498,2201,1002,1,04
1,TD-2ZEW,5,1975,2201,1003,1,08
1,TD-2ZEW,6,2316,1301,1066,1,04
1,TD-2ZEW,7,3064,1301,1071,1,02
1,TD-2ZEW,8,3727,1701,1077,1,04
1,TD-2ZEW,9,4328,1701,1078,1,04
1,TD-2ZEW,10,4859,1701,1079,1,04
1,TD-2ZEW,11,5267,1567,1080,1,04
1,TD-2ZEW,12,6044,1901,1082,1,02
1,TD-2ZEW,13,6387,1901,1083,1,04
1,TD-2ZEW,14,6609,1901,1084,1,02
1,TD-2ZEW,15,6996,1901,1085,1,02
1,TD-2ZEW,16,7455,1901,1086,1,04
1,TD-2ZEW,17,7956,0104,1088,1,04
1,TD-2ZEW,18,8521,0104,1089,1,04
1,TD-2ZEW,19,8994,0104,1090,1,02
1,TD-2ZEW,20,9493,0104,1091,3,03
1,TD-4AN03,1,0,1803,R-04,6,00
1,TD-4AN03,2,154,1803,6061,5,05
1,TD-4AN03,3,984,1505,6014,1,03
1,TD-4AN03,4,1424,1505,6013,1,03
1,TD-4AN03,5,2007,1505,6011,1,03
1,TD-4AN03,6,2359,1505,6010,1,03
1,TD-4AN03,7,2869,1505,6008,1,03
1,TD-4AN03,8,3245,1505,6007,1,03
1,TD-4AN03,9,3863,1505,6006,1,05
1,TD-4AN03,10,4186,2004,6075,1,03
1,TD-4AN03,11,4650,2004,6005,1,03
1,TD-4AN03,12,5273,2003,6094,1,03
1,TD-4AN03,13,5749,0025,6039,1,03
1,TD-4AN03,14,6595,0110,7091,1,09
1,TD-4AN03,15,6791,0203,7091,1,07
1,TD-4AN03,16,7116,0203,7081,1,03
1,TD-4AN03,17,7594,0203,7019,1,07
1,TD-4AN03,18,8143,0203,7054,1,05
1,TD-4AN03,19,8520,1532,7055,1,03
1,TD-4AN03,20,8963,1532,1164,1,04
