bus_stop_group,next_bus_stop_group,time_of_day,count_of_events
1001,1002,1900-01-01T04:00:00.000Z,10
1001,1002,1900-01-01T05:00:00.000Z,25
1001,1002,1900-01-01T06:00:00.000Z,39
1001,1002,1900-01-01T07:00:00.000Z,51
1001,1002,1900-01-01T08:00:00.000Z,52
1001,1002,1900-01-01T09:00:00.000Z,41
1001,1002,1900-01-01T10:00:00.000Z,35
1001,1002,1900-01-01T11:00:00.000Z,35
1001,1002,1900-01-01T12:00:00.000Z,35
1001,1002,1900-01-01T13:00:00.000Z,35
1001,1002,1900-01-01T14:00:00.000Z,46
1001,1002,1900-01-01T15:00:00.000Z,51
1001,1002,1900-01-01T16:00:00.000Z,54
1001,1002,1900-01-01T17:00:00.000Z,48
1001,1002,1900-01-01T18:00:00.000Z,40
1001,1002,1900-01-01T19:00:00.000Z,35
1001,1002,1900-01-01T20:00:00.000Z,17
1001,1002,1900-01-01T21:00:00.000Z,12
1001,1002,1900-01-01T22:00:00.000Z,12
1001,1003,1900-01-01T05:00:00.000Z,8
1001,1003,1900-01-01T06:00:00.000Z,8
1001,1003,1900-01-01T07:00:00.000Z,8
1001,1003,1900-01-01T08:00:00.000Z,8
1001,1003,1900-01-01T09:00:00.000Z,8
1001,1003,1900-01-01T10:00:00.000Z,8
1001,1003,1900-01-01T11:00:00.000Z,8
1001,1003,1900-01-01T12:00:00.000Z,8
1001,1003,1900-01-01T13:00:00.000Z,8
1001,1003,1900-01-01T14:00:00.000Z,8
1001,1003,1900-01-01T15:00:00.000Z,8
1001,1003,1900-01-01T16:00:00.000Z,8
1001,1003,1900-01-01T17:00:00.000Z,8
1001,1003,1900-01-01T18:00:00.000Z,8
1001,1003,1900-01-01T19:00:00.000Z,8
1001,1003,1900-01-01T20:00:00.000Z,8
1001,1003,1900-01-01T21:00:00.000Z,8
1001,1003,1900-01-01T22:00:00.000Z,4
1001,1003,1900-01-01T23:00:00.000Z,4
1001,1028,1900-01-01T05:00:00.000Z,10
1001,1028,1900-01-01T06:00:00.000Z,27
1001,1028,1900-01-01T07:00:00.000Z,39
1001,1028,1900-01-01T08:00:00.000Z,45
1001,1028,1900-01-01T09:00:00.000Z,36
1001,1028,1900-01-01T10:00:00.000Z,30
1001,1028,1900-01-01T11:00:00.000Z,30
1001,1028,1900-01-01T12:00:00.000Z,30
1001,1028,1900-01-01T13:00:00.000Z,30
1001,1028,1900-01-01T14:00:00.000Z,30
1001,1028,1900-01-01T15:00:00.000Z,42
1001,1028,1900-01-01T16:00:00.000Z,45
1001,1028,1900-01-01T17:00:00.000Z,45
1001,1028,1900-01-01T18:00:00.000Z,39
1001,1028,1900-01-01T19:00:00.000Z,30
1001,1028,1900-01-01T20:00:00.000Z,24
1001,1028,1900-01-01T21:00:00.000Z,9
1001,1028,1900-01-01T22:00:00.000Z,9
1001,1028,1900-01-01T23:00:00.000Z,6
1001,2001,1900-01-01T03:00:00.000Z,1
1001,2001,1900-01-01T04:00:00.000Z,5
1001,2001,1900-01-01T05:00:00.000Z,6
1001,2001,1900-01-01T06:00:00.000Z,8
1001,2001,1900-01-01T07:00:00.000Z,8
1001,2001,1900-01-01T08:00:00.000Z,8
1001,2001,1900-01-01T09:00:00.000Z,8
1001,2001,1900-01-01T10:00:00.000Z,6
1001,2001,1900-01-01T11:00:00.000Z,6
1001,2001,1900-01-01T12:00:00.000Z,6
1001,2001,1900-01-01T13:00:00.000Z,6
1001,2001,1900-01-01T14:00:00.000Z,9
1001,2001,1900-01-01T15:00:00.000Z,8
1001,2001,1900-01-01T16:00:00.000Z,8
1001,2001,1900-01-01T17:00:00.000Z,8
1001,2001,1900-01-01T18:00:00.000Z,8
1001,2001,1900-01-01T19:00:00.000Z,6
1001,2001,1900-01-01T20:00:00.000Z,6
1001,2001,1900-01-01T21:00:00.000Z,4
1001,2001,1900-01-01T22:00:00.000Z,4
1001,2001,1900-01-01T23:00:00.000Z,2
1002,1001,1900-01-01T03:00:00.000Z,1
1002,1001,1900-01-01T04:00:00.000Z,2
1002,1001,1900-01-01T05:00:00.000Z,9
1002,1001,1900-01-01T06:00:00.000Z,21
1002,1001,1900-01-01T07:00:00.000Z,29
1002,1001,1900-01-01T08:00:00.000Z,29
1002,1001,1900-01-01T09:00:00.000Z,26
1002,1001,1900-01-01T10:00:00.000Z,21
1002,1001,1900-01-01T11:00:00.000Z,21
1002,1001,1900-01-01T12:00:00.000Z,21
1002,1001,1900-01-01T13:00:00.000Z,21
1002,1001,1900-01-01T14:00:00.000Z,23
1002,1001,1900-01-01T15:00:00.000Z,32
1002,1001,1900-01-01T16:00:00.000Z,29
1002,1001,1900-01-01T17:00:00.000Z,32
1002,1001,1900-01-01T18:00:00.000Z,26
1002,1001,1900-01-01T19:00:00.000Z,21
1002,1001,1900-01-01T20:00:00.000Z,18
1002,1001,1900-01-01T21:00:00.000Z,4
1002,1001,1900-01-01T22:00:00.000Z,4
1002,1001,1900-01-01T23:00:00.000Z,2
1002,1003,1900-01-01T04:00:00.000Z,11
1002,1003,1900-01-01T05:00:00.000Z,25
1002,1003,1900-01-01T06:00:00.000Z,39
1002,1003,1900-01-01T07:00:00.000Z,56
1002,1003,1900-01-01T08:00:00.000Z,56
1002,1003,1900-01-01T09:00:00.000Z,38
1002,1003,1900-01-01T10:00:00.000Z,35
1002,1003,1900-01-01T11:00:00.000Z,35
1002,1003,1900-01-01T12:00:00.000Z,35
1002,1003,1900-01-01T13:00:00.000Z,35
1002,1003,1900-01-01T14:00:00.000Z,51
1002,1003,1900-01-01T15:00:00.000Z,53
1002,1003,1900-01-01T16:00:00.000Z,60
1002,1003,1900-01-01T17:00:00.000Z,50
1002,1003,1900-01-01T18:00:00.000Z,42
1002,1003,1900-01-01T19:00:00.000Z,35
1002,1003,1900-01-01T20:00:00.000Z,20
1002,1003,1900-01-01T21:00:00.000Z,12
1002,1003,1900-01-01T22:00:00.000Z,12
1003,1002,1900-01-01T03:00:00.000Z,1
1003,1002,1900-01-01T04:00:00.000Z,2
1003,1002,1900-01-01T05:00:00.000Z,3
1003,1002,1900-01-01T06:00:00.000Z,15
1003,1002,1900-01-01T07:00:00.000Z,21
1003,1002,1900-01-01T08:00:00.000Z,21
1003,1002,1900-01-01T09:00:00.000Z,18
1003,1002,1900-01-01T10:00:00.000Z,15
1003,1002,1900-01-01T11:00:00.000Z,15
1003,1002,1900-01-01T12:00:00.000Z,15
1003,1002,1900-01-01T13:00:00.000Z,15
1003,1002,1900-01-01T14:00:00.000Z,15
1003,1002,1900-01-01T15:00:00.000Z,24
1003,1002,1900-01-01T16:00:00.000Z,21
1003,1002,1900-01-01T17:00:00.000Z,24
1003,1002,1900-01-01T18:00:00.000Z,18
1003,1002,1900-01-01T19:00:00.000Z,15
1003,1002,1900-01-01T20:00:00.000Z,12
1003,1003,1900-01-01T06:00:00.000Z,3
1003,1003,1900-01-01T07:00:00.000Z,3
1003,1003,1900-01-01T08:00:00.000Z,3
1003,1003,1900-01-01T14:00:00.000Z,2
1003,1003,1900-01-01T15:00:00.000Z,4
1003,1003,1900-01-01T16:00:00.000Z,4
1003,1003,1900-01-01T17:00:00.000Z,4
1003,1003,1900-01-01T18:00:00.000Z,3
1003,1004,1900-01-01T04:00:00.000Z,4
1003,1004,1900-01-01T05:00:00.000Z,10
1003,1004,1900-01-01T06:00:00.000Z,10
1003,1004,1900-01-01T07:00:00.000Z,16
1003,1004,1900-01-01T08:00:00.000Z,14
1003,1004,1900-01-01T09:00:00.000Z,10
