id,name,lat,lng
1001,Kijowska,52.248455,21.044827
1002,Ząbkowska,52.251325,21.038457
1003,Dw.Wileński,52.253739,21.035454
1004,Ratuszowa-ZOO,52.256614,21.028536
1005,pl.Hallera,52.258094,21.027097
1006,rondo Starzyńskiego,52.263615,21.019547
1007,Golędzinów,52.266656,21.020014
1008,PIMot,52.269904,21.017729
1009,Batalionu Platerówek,52.273735,21.014418
1010,Śliwice,52.278146,21.011972
1011,Budzińskiej-Tylickiej,52.282073,21.009617
1012,Dyrekcja FSO,52.286644,21.006507
1013,Żerań FSO,52.289797,21.003259
1014,EC Żerań,52.295347,20.997471
1015,Kanał Żerański,52.299240,20.993479
1016,Konwaliowa,52.302715,20.989802
1017,Płochocińska,52.307248,20.983925
1018,Ekspresowa,52.311634,20.978492
1019,Obrazkowa,52.315476,20.975587
1020,Białołęka-Ratusz,52.320610,20.972121
1021,Drogowa,52.326982,20.967982
1022,Klasyków,52.330805,20.965765
1023,Henryków,52.334167,20.962165
1024,Żiżki,52.337473,20.958266
1025,Poetów,52.343160,20.951680
1026,Dąbrówka Szlachecka,52.346283,20.949042
1027,Buków,52.355420,20.941415
1028,Dw.Wschodni (Kijowska),52.252780,21.049991
1029,Zajezdnia Praga,52.256488,21.053229
1030,Wojnicka,52.257407,21.056336
1031,Kawęczyńska-Bazylika,52.258274,21.059237
1032,Markowska,52.254576,21.044862
1033,Korsaka,52.256384,21.050026
1034,Śnieżna,52.259741,21.052788
1035,Naczelnikowska,52.263438,21.057143
1036,Siarczana,52.262169,21.063721
1037,Zabraniecka-Magazyny,52.261176,21.067406
1038,Zabraniecka-Bocznica,52.260757,21.071933
1039,Księżnej Anny,52.260909,21.075939
1040,Matuszewska,52.260428,21.083880
1041,Zabraniecka,52.260747,21.087538
1042,Łubinowa,52.260457,21.094609
1043,Utrata,52.260614,21.100661
1044,Utrata-Magazyny,52.264701,21.093459
1045,Chemiczna,52.263725,21.063213
1046,Hutnicza,52.265535,21.067592
1047,Rzeczna,52.267334,21.071830
1048,Bukowiecka,52.269907,21.077962
1049,Jesiotrowa,52.273810,21.087157
1050,Lniana,52.273543,21.091219
1051,Elsnerów,52.270976,21.093753
1052,Rzeszotarskiej,52.257087,21.040029
